Time,Speed
2017-04-12 10:40:03,3229
2017-04-12 10:40:04,3043
2017-04-12 10:40:05,3014
2017-04-12 10:40:06,3128
2017-04-12 10:40:07,3099
2017-04-12 10:40:08,3213
2017-04-12 10:40:09,3028
2017-04-12 10:40:10,3298
2017-04-12 10:40:11,3113
2017-04-12 10:40:12,3034
2017-04-12 10:40:13,3005
2017-04-12 10:40:14,3119
2017-04-12 10:40:15,3233
2017-04-12 10:40:16,3204
2017-04-12 10:40:17,3018
2017-04-12 10:40:18,3289
2017-04-12 10:40:19,3104
2017-04-12 10:40:20,3218
2017-04-12 10:40:21,3189
2017-04-12 10:40:22,3110
2017-04-12 10:40:23,3224
2017-04-12 10:40:24,3195
2017-04-12 10:40:25,3009
2017-04-12 10:40:26,3124
2017-04-12 10:40:27,3094
2017-04-12 10:40:28,3209
2017-04-12 10:40:29,3179
2017-04-12 10:40:30,3294
2017-04-12 10:40:31,3264
2017-04-12 10:40:32,3186
2017-04-12 10:40:33,3000
2017-04-12 10:40:34,3115
2017-04-12 10:40:35,3085
2017-04-12 10:40:36,3200
2017-04-12 10:40:37,3170
2017-04-12 10:40:38,3285
2017-04-12 10:40:39,3099
2017-04-12 10:40:40,3070
2017-04-12 10:40:41,3184
2017-04-12 10:40:42,3105
2017-04-12 10:40:43,3076
2017-04-12 10:40:44,3190
2017-04-12 10:40:45,3005
2017-04-12 10:40:46,3275
2017-04-12 10:40:47,3090
2017-04-12 10:40:48,3060
2017-04-12 10:40:49,3175
2017-04-12 10:40:50,3289
2017-04-12 10:40:51,3211
2017-04-12 10:40:52,3181
2017-04-12 10:40:53,3296
2017-04-12 10:40:54,3266
2017-04-12 10:40:55,3081
2017-04-12 10:40:56,3195
2017-04-12 10:40:57,3166
2017-04-12 10:40:58,3280
2017-04-12 10:40:59,3251
2017-04-12 10:41:00,3065
2017-04-12 10:41:01,3286
2017-04-12 10:41:02,3257
2017-04-12 10:41:03,3071
2017-04-12 10:41:04,3186
2017-04-12 10:41:05,3156
2017-04-12 10:41:06,3271
2017-04-12 10:41:07,3241
2017-04-12 10:41:08,3356
