Time,Speed
2017-04-12 11:31:01,3223
2017-04-12 11:31:02,3037
2017-04-12 11:31:03,3008
2017-04-12 11:31:04,3229
2017-04-12 11:31:05,3044
2017-04-12 11:31:06,3014
2017-04-12 11:31:07,3129
2017-04-12 11:31:08,3243
2017-04-12 11:31:09,3214
2017-04-12 11:31:10,3028
2017-04-12 11:31:11,3299
2017-04-12 11:31:12,3113
2017-04-12 11:31:13,3227
2017-04-12 11:31:14,3149
2017-04-12 11:31:15,3120
2017-04-12 11:31:16,3234
2017-04-12 11:31:17,3205
2017-04-12 11:31:18,3019
2017-04-12 11:31:19,3133
2017-04-12 11:31:20,3104
2017-04-12 11:31:21,3218
2017-04-12 11:31:22,3189
2017-04-12 11:31:23,3003
2017-04-12 11:31:24,3225
2017-04-12 11:31:25,3039
2017-04-12 11:31:26,3010
2017-04-12 11:31:27,3124
2017-04-12 11:31:28,3095
2017-04-12 11:31:29,3209
2017-04-12 11:31:30,3180
2017-04-12 11:31:31,3294
2017-04-12 11:31:32,3108
2017-04-12 11:31:33,3030
2017-04-12 11:31:34,3001
2017-04-12 11:31:35,3115
2017-04-12 11:31:36,3086
2017-04-12 11:31:37,3200
2017-04-12 11:31:38,3014
2017-04-12 11:31:39,3285
2017-04-12 11:31:40,3099
2017-04-12 11:31:41,3070
2017-04-12 11:31:42,3184
2017-04-12 11:31:43,3106
2017-04-12 11:31:44,3220
2017-04-12 11:31:45,3191
2017-04-12 11:31:46,3005
2017-04-12 11:31:47,3276
2017-04-12 11:31:48,3090
2017-04-12 11:31:49,3204
2017-04-12 11:31:50,3175
2017-04-12 11:31:51,3289
2017-04-12 11:31:52,3260
2017-04-12 11:31:53,3182
2017-04-12 11:31:54,3296
2017-04-12 11:31:55,3110
2017-04-12 11:31:56,3081
2017-04-12 11:31:57,3195
2017-04-12 11:31:58,3166
2017-04-12 11:31:59,3280
2017-04-12 11:32:00,3251
2017-04-12 11:32:01,3065
2017-04-12 11:32:02,3179
2017-04-12 11:32:03,3101
2017-04-12 11:32:04,3072
2017-04-12 11:32:05,3186
2017-04-12 11:32:06,1618
