Time,RMS
2017-04-12 10:51:33,0.297516454149744
2017-04-12 10:51:34,0.200405329093526
2017-04-12 10:51:35,0.580868889848175
2017-04-12 10:51:36,0.483757764791957
2017-04-12 10:51:37,0.223026352572733
2017-04-12 10:51:38,0.603489913327382
2017-04-12 10:51:39,0.983953474082031
2017-04-12 10:51:40,0.886842349025813
2017-04-12 10:51:41,0.267305909780462
2017-04-12 10:51:42,0.170194784724244
2017-04-12 10:51:43,0.550658345478893
2017-04-12 10:51:44,0.931121906233543
2017-04-12 10:51:45,0.834010781177325
2017-04-12 10:51:46,0.214474341931974
2017-04-12 10:51:47,0.95374292971275
2017-04-12 10:51:48,0.856631804656532
2017-04-12 10:51:49,0.237095365411181
2017-04-12 10:51:50,0.61755892616583
2017-04-12 10:51:51,0.520447801109612
2017-04-12 10:51:52,0.900911361864261
2017-04-12 10:51:53,0.803800236808043
2017-04-12 10:51:54,0.184263797562692
2017-04-12 10:51:55,0.0871526725064743
2017-04-12 10:51:56,0.467616233261123
2017-04-12 10:51:57,0.206884821041899
2017-04-12 10:51:58,0.587348381796548
2017-04-12 10:51:59,0.49023725674033
2017-04-12 10:52:00,0.87070081749498
2017-04-12 10:52:01,0.773589692438762
2017-04-12 10:52:02,0.154053253193411
2017-04-12 10:52:03,0.53451681394806
2017-04-12 10:52:04,0.437405688891842
2017-04-12 10:52:05,0.817869249646491
2017-04-12 10:52:06,0.557137837427267
2017-04-12 10:52:07,0.460026712371049
2017-04-12 10:52:08,0.840490273125698
2017-04-12 10:52:09,0.220953833880347
2017-04-12 10:52:10,0.123842708824129
2017-04-12 10:52:11,0.504306269578778
2017-04-12 10:52:12,0.40719514452256
2017-04-12 10:52:13,0.787658705277209
2017-04-12 10:52:14,0.168122266031859
2017-04-12 10:52:15,0.0710111409756407
2017-04-12 10:52:16,0.810279728756417
2017-04-12 10:52:17,0.190743289511066
2017-04-12 10:52:18,0.0936321644548476
2017-04-12 10:52:19,0.474095725209497
2017-04-12 10:52:20,0.854559285964146
2017-04-12 10:52:21,0.757448160907928
2017-04-12 10:52:22,0.137911721662577
2017-04-12 10:52:23,0.0408005966063592
2017-04-12 10:52:24,0.421264157361008
2017-04-12 10:52:25,0.32415303230479
2017-04-12 10:52:26,0.0634216200855661
2017-04-12 10:52:27,0.443885180840215
2017-04-12 10:52:28,0.824348741594864
2017-04-12 10:52:29,0.727237616538646
2017-04-12 10:52:30,0.107701177293296
2017-04-12 10:52:31,0.0105900522370776
2017-04-12 10:52:32,0.391053612991727
2017-04-12 10:52:33,0.771517173746376
2017-04-12 10:52:34,0.674406048690158
2017-04-12 10:52:35,0.0548696094448071
2017-04-12 10:52:36,0.794138197225583
2017-04-12 10:52:37,0.697027072169365
2017-04-12 10:52:38,0.0774906329240141
